DATE,BOA_CLOSE,CITY_CLOSE,WELLS_CLOSE,JPM_CLOSE,GDP_VALUE,UNEMPLO_RATE,INFLA_RATE,CC_VALUE,CPI_VALUE,GOLD_CLOSE,YIELD_VALUE
11-05-1999,34.5,362.5,21.375,53.33333334,9593.47244,4.264516129,1.778852055,136.2806452,165.9354839,278,6.310612903
12-05-1999,34.40625,369.6875,21.46875,54.875,9595.205451,4.261290323,1.780621918,136.3516129,165.9387097,276.8,6.328032258
13-05-1999,35.34375,367.1875,21.6875,56,9596.938462,4.258064516,1.782391781,136.4225806,165.9419355,277.5,6.345451613
14-05-1999,34.28125,355,21,52.70833334,9598.671473,4.25483871,1.784161644,136.4935484,165.9451613,275.7,6.362870968
15-05-1999,34.28125,353.3333334,20.8125,52.61111111,9600.404484,4.251612903,1.785931507,136.5645161,165.9483871,275.2,6.380290323
16-05-1999,34.28125,351.6666667,20.625,52.51388889,9602.137495,4.248387097,1.78770137,136.6354839,165.9516129,274.7,6.397709677
17-05-1999,34.28125,350,20.4375,52.41666667,9603.870505,4.24516129,1.789471233,136.7064516,165.9548387,274.2,6.415129032
18-05-1999,34.125,345.3125,20.09375,52.5,9605.603516,4.241935484,1.791241096,136.7774194,165.9580645,273.8,6.432548387
19-05-1999,34.625,352.1875,20.625,53.45833334,9607.336527,4.238709677,1.793010959,136.8483871,165.9612903,272.9,6.449967742
20-05-1999,34.03125,345,20.625,53.45833334,9609.069538,4.235483871,1.794780822,136.9193548,165.9645161,274.2,6.467387097
21-05-1999,33.71875,339.0625,20.8125,52.625,9610.802549,4.232258065,1.796550685,136.9903226,165.9677419,272.75,6.484806452
22-05-1999,33.41666667,334.5833334,20.69791667,51.94444445,9612.53556,4.229032258,1.798320548,137.0612903,165.9709677,272.5666667,6.502225806
23-05-1999,33.11458333,330.1041667,20.58333333,51.26388889,9614.268571,4.225806452,1.800090411,137.1322581,165.9741935,272.3833333,6.519645161
24-05-1999,32.8125,325.625,20.46875,50.58333334,9616.001582,4.222580645,1.801860274,137.2032258,165.9774194,272.2,6.537064516
25-05-1999,31.375,313.75,19.1875,49.20833334,9617.734593,4.219354839,1.803630137,137.2741935,165.9806452,270.3,6.554483871
26-05-1999,33,323.4375,20.6875,50.25,9619.467604,4.216129032,1.8054,137.3451613,165.983871,268.9,6.571903226
27-05-1999,31.25,317.1875,19.625,48.5,9621.200615,4.212903226,1.807169863,137.416129,165.9870968,270.3,6.589322581
28-05-1999,32.34375,331.25,20,48.25,9622.933626,4.209677419,1.808939726,137.4870968,165.9903226,270,6.606741935
29-05-1999,32.1796875,328.9453125,19.9921875,48.20833334,9624.666637,4.206451613,1.810709589,137.5580645,165.9935484,270.0333333,6.62416129
30-05-1999,32.015625,326.640625,19.984375,48.16666667,9626.399648,4.203225806,1.812479452,137.6290323,165.9967742,270.0666667,6.641580645
31-05-1999,31.8515625,324.3359375,19.9765625,48.125,9628.132659,4.2,1.814249315,137.7,166,270.1,6.659
01-06-1999,31.6875,322.03125,19.96875,48.08333334,9629.86567,4.203333333,1.816019178,137.7433333,166,267.4,6.664266667
02-06-1999,31.625,312.1875,19.84375,47.375,9631.598681,4.206666667,1.817789041,137.7866667,166,265.2,6.669533333
03-06-1999,32.15625,316.875,19.875,47.75,9633.331692,4.21,1.819558904,137.83,166,265.5,6.6748
04-06-1999,32.4375,327.65625,20,49.54166667,9635.064703,4.213333333,1.821328767,137.8733333,166,265.1,6.680066667
05-06-1999,32.66666667,328.90625,20.15625,50.08333334,9636.797714,4.216666667,1.82309863,137.9166667,166,265.2,6.685333333
06-06-1999,32.89583333,330.15625,20.3125,50.625,9638.530725,4.22,1.824868493,137.96,166,265.3,6.6906
